ASIN,country,url,bsr_main_category,bsr_main_rank,bsr_sub_category,bsr_sub_rank,rating,review_count
B0D8HZHN4K,US,https://www.amazon.com/dp/B0D8HZHN4K,Office Products,57071,Badge Holders,1495,4.8,49
B0C143PSHL,US,https://www.amazon.com/dp/B0C143PSHL,Office Products,18267,Badge Holders,393,4.7,461
B0DY17SH7T,US,https://www.amazon.com/dp/B0DY17SH7T,Office Products,102896,Badge Holders,2888,5.0,1
B0BRKQX4Y7,US,https://www.amazon.com/dp/B0BRKQX4Y7,Office Products,20249,Badge Holders,442,4.6,525
B0D99S91QZ,US,https://www.amazon.com/dp/B0D99S91QZ,Office Products,70268,Badge Holders,1904,4.6,54
B09YVC23FM,US,https://www.amazon.com/dp/B09YVC23FM,Office Products,74683,Badge Lanyards,506,4.5,58
B0DRZ9VRNW,US,https://www.amazon.com/dp/B0DRZ9VRNW,Office Products,29736,Badge Holders,712,4.6,8
B0D7GZK84W,US,https://www.amazon.com/dp/B0D7GZK84W,Office Products,273023,Badge Holders,8142,4.4,19
B09Y9G49GV,US,https://www.amazon.com/dp/B09Y9G49GV,Office Products,52204,Badge Holders,1333,4.3,75
B0D7ZRMDX2,US,https://www.amazon.com/dp/B0D7ZRMDX2,Office Products,75586,Badge Holders,2057,4.6,34
B0DRTYM4QY,US,https://www.amazon.com/dp/B0DRTYM4QY,Office Products,52168,Badge Holders,1334,4.3,55
B0CGLSWLQ1,US,https://www.amazon.com/dp/B0CGLSWLQ1,Tools & Home Improvement,292065,Restraint Ropes & Lanyards,235,4.4,160
B0DZHN853H,US,https://www.amazon.com/dp/B0DZHN853H,Office Products,184979,Badge Holders,6074,,
B0C69CPCBX,US,https://www.amazon.com/dp/B0C69CPCBX,Office Products,94533,Badge Holders,2623,4.4,16
B09V6XKBPV,US,https://www.amazon.com/dp/B09V6XKBPV,Office Products,179761,Badge Holders,5336,4.2,24
B0DXZKH2XL,US,https://www.amazon.com/dp/B0DXZKH2XL,Office Products,249598,Badge Holders,7459,,
B0DRNMSJKP,US,https://www.amazon.com/dp/B0DRNMSJKP,Office Products,133921,Badge Holders,3898,5.0,2
B0BJ2WKZKH,US,https://www.amazon.com/dp/B0BJ2WKZKH,Office Products,2940,Badge Holders,46,4.7,2084
B0D93XXNJS,US,https://www.amazon.com/dp/B0D93XXNJS,Office Products,2687,Badge Holders,40,4.6,1867
B0CPWP77ZG,US,https://www.amazon.com/dp/B0CPWP77ZG,Office Products,60881,Badge Holders,4073,4.5,31
B0BHLNNSCD,US,https://www.amazon.com/dp/B0BHLNNSCD,,,,,4.6,48
B0BHLY135T,US,https://www.amazon.com/dp/B0BHLY135T,Office Products,188756,Badge Holders,5611,4.8,42
B0D3ZTSS24,US,https://www.amazon.com/dp/B0D3ZTSS24,Office Products,173149,Badge Holders,5127,5.0,5
B0BYZFY8M3,US,https://www.amazon.com/dp/B0BYZFY8M3,Office Products,2056,Badge Holders,26,4.6,2310
B09TR71XSG,US,https://www.amazon.com/dp/B09TR71XSG,Office Products,123557,Badge Holders,3578,4.7,29
B0CZ8K3MZ4,US,https://www.amazon.com/dp/B0CZ8K3MZ4,Office Products,199967,Badge Holders,5940,5.0,5
B0CZ366VLC,US,https://www.amazon.com/dp/B0CZ366VLC,,,,,4.3,34
B09H9PJMGZ,US,https://www.amazon.com/dp/B09H9PJMGZ,Office Products,78340,Badge Holders,2127,4.6,309
B0D226KPC8,US,https://www.amazon.com/dp/B0D226KPC8,Office Products,25407,Badge Holders,588,4.6,154
B0B3T8K885,US,https://www.amazon.com/dp/B0B3T8K885,Office Products,75153,Badge Holders,2044,4.4,152
B0777GVFSV,US,https://www.amazon.com/dp/B0777GVFSV,Office Products,66156,Badge Holders,1767,4.4,608
B0F3J4D8M7,US,https://www.amazon.com/dp/B0F3J4D8M7,Office Products,165311,Badge Holders,4884,,
B091L66XFH,US,https://www.amazon.com/dp/B091L66XFH,Office Products,113271,Badge Holders,3213,3.7,6
B0DFLBH2V5,US,https://www.amazon.com/dp/B0DFLBH2V5,Office Products,103114,Badge Holders,2896,4.6,5
B0DJKW31DP,US,https://www.amazon.com/dp/B0DJKW31DP,Office Products,30580,Badge Holders,731,4.7,20
B09JZ155HN,US,https://www.amazon.com/dp/B09JZ155HN,Office Products,62891,Badge Holders,1649,4.5,107
B0DXSPMQRR,US,https://www.amazon.com/dp/B0DXSPMQRR,Office Products,243771,Badge Holders,7298,,
B0C1TCF9P9,US,https://www.amazon.com/dp/B0C1TCF9P9,Office Products,9526,Badge Holders,196,4.6,584
B0D872FC3M,US,https://www.amazon.com/dp/B0D872FC3M,Office Products,219076,Badge Holders,6541,4.4,9
B0C68KDVDC,US,https://www.amazon.com/dp/B0C68KDVDC,Office Products,176864,Badge Holders,5267,4.7,8
B0DRV9F63X,US,https://www.amazon.com/dp/B0DRV9F63X,Office Products,826418,Badge Holders,25004,,
B09HDQKKS6,US,https://www.amazon.com/dp/B09HDQKKS6,Office Products,101014,Badge Holders,2822,4.6,273
B0CC6BY9XS,US,https://www.amazon.com/dp/B0CC6BY9XS,Office Products,13100,Badge Holders,279,4.5,412
B0D3B898PR,US,https://www.amazon.com/dp/B0D3B898PR,Office Products,1687,Badge Holders,20,4.4,667
B09MH9NDSR,US,https://www.amazon.com/dp/B09MH9NDSR,,,,,3.8,14
B0CND8542M,US,https://www.amazon.com/dp/B0CND8542M,,,,,3.7,7
B0CHVSCFR5,US,https://www.amazon.com/dp/B0CHVSCFR5,,,,,4.9,28
B0CHVKJGGC,US,https://www.amazon.com/dp/B0CHVKJGGC,,,,,4.3,36
